id,homeTeamId,awayTeamId,homeScorePeriod1,homeScoreCurrent,awayScorePeriod1,awayScoreCurrent
10385492,3,33,0,1,0,0
10385496,45,31,1,1,0,0
10385507,14,48,1,2,2,2
10652686,44,35,1,7,0,0
10385507,14,48,1,2,2,2
10652686,44,35,1,7,0,0
11014934,50,43,1,3,1,2
11014934,50,43,1,3,1,2
10385494,60,44,1,1,0,0
10385494,60,44,1,1,0,0
10385516,48,50,1,1,0,0
10385515,34,30,1,2,1,2
10385513,31,38,1,1,2,3
10385504,33,14,2,3,0,1
10385499,7,17,0,0,0,1
10385494,60,44,1,1,0,0
10385516,48,50,1,1,0,0
10385515,34,30,1,2,1,2
10385513,31,38,1,1,2,3
10385504,33,14,2,3,0,1
10385499,7,17,0,0,0,1
10385512,43,42,0,0,3,3
10652679,35,45,0,0,0,0
10385517,37,40,1,1,1,1
10385505,39,3,1,2,0,1
10385512,43,42,0,0,3,3
10652679,35,45,0,0,0,0
10385517,37,40,1,1,1,1
10385505,39,3,1,2,0,1
11055512,30,7,1,1,0,0
11055513,45,50,0,0,1,2
11055512,30,7,1,1,0,0
11055513,45,50,0,0,1,2
10385521,14,39,1,1,1,2
10385521,14,39,1,1,1,2
10385536,40,60,1,3,0,0
10385529,50,31,1,1,0,1
10385544,45,33,0,3,1,3
10385540,3,34,0,2,1,4
10385526,38,48,0,2,0,2
10385536,40,60,1,3,0,0
10385529,50,31,1,1,0,1
10385544,45,33,0,3,1,3
10385540,3,34,0,2,1,4
10385526,38,48,0,2,0,2
10385522,42,7,2,4,0,1
10385522,42,7,2,4,0,1
10385561,17,44,1,4,1,1
10385561,17,44,1,4,1,1
10385553,42,34,1,4,0,1
10385541,60,43,0,2,1,1
10385534,30,50,2,3,2,3
10385545,7,31,0,2,0,1
10385560,14,3,1,1,0,1
10385535,38,40,0,0,1,2
10385555,37,45,1,1,0,0
10385553,42,34,1,4,0,1
10385541,60,43,0,2,1,1
10385534,30,50,2,3,2,3
10385545,7,31,0,2,0,1
10385560,14,3,1,1,0,1
10385535,38,40,0,0,1,2
10385555,37,45,1,1,0,0
10385558,39,35,0,2,0,0
10385555,37,45,1,1,0,0
10385558,39,35,0,2,0,0
